"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Respiratory arrest","Ioversol","Respiratory arrest","呼吸停止","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","33","33","3239","26947","19876260","3272","26980","19906479","7.51","5.33","10.59","7.45","184.28","2.9","2.55","4.4347","6.79","3.75","1","1","1","1","1","1","7.51 (5.33, 10.59)"
"NASAL CONGESTION","Ioversol","NASAL CONGESTION","鼻充血","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","66","66","3206","54900","19848307","3272","54966","19906479","7.44","5.83","9.5","7.31","360.23","2.87","2.62","9.0347","6.97","3.99","1","1","1","1","1","1","7.44 (5.83, 9.50)"
"RASH GENERALISED","Ioversol","RASH GENERALISED",,,,"31","31","3241","25804","19877403","3272","25835","19906479","7.37","5.17","10.5","7.31","168.8","2.87","2.51","4.2465","6.64","3.65","1","1","1","1","1","1","7.37 (5.17, 10.50)"
"LACRIMATION INCREASED","Ioversol","LACRIMATION INCREASED","流泪增加","Eye disorders","眼器官疾病","32","32","3240","27944","19875263","3272","27976","19906479","7.02","4.96","9.95","6.97","163.54","2.8","2.44","4.5984","6.37","3.51","1","1","1","1","1","1","7.02 (4.96, 9.95)"
"WHEEZING","Ioversol","WHEEZING","哮鸣","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","61","61","3211","54175","19849032","3272","54236","19906479","6.96","5.4","8.97","6.85","305.2","2.77","2.52","8.9147","6.53","3.73","1","1","1","1","1","1","6.96 (5.40, 8.97)"
"Pharyngeal swelling","Ioversol","Pharyngeal swelling","咽部肿胀","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","10","10","3262","8804","19894403","3272","8814","19906479","6.93","3.72","12.89","6.91","50.5","2.79","2.15","1.4487","5.39","2.58","1","1","1","1","1","1","6.93 (3.72, 12.89)"
"ERYTHEMA","Ioversol","ERYTHEMA","红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","202","202","3070","195130","19708077","3272","195332","19906479","6.65","5.76","7.66","6.3","908.06","2.65","2.51","32.1064","6.21","3.64","1","1","1","1","1","1","6.65 (5.76, 7.66)"
"Retching","Ioversol","Retching","干呕","Gastrointestinal disorders","胃肠系统疾病","21","21","3251","20195","19883012","3272","20216","19906479","6.36","4.14","9.77","6.33","94.15","2.66","2.22","3.3229","5.62","2.99","1","1","1","1","1","1","6.36 (4.14, 9.77)"
"Eosinophilia","Ioversol","Eosinophilia","嗜酸性粒细胞增多症","Blood and lymphatic system disorders","血液及淋巴系统疾病","17","17","3255","16373","19886834","3272","16390","19906479","6.34","3.94","10.22","6.32","76.04","2.66","2.17","2.694","5.48","2.84","1","1","1","1","1","1","6.34 (3.94, 10.22)"
"Renal failure chronic","Ioversol","Renal failure chronic",,,,"8","8","3264","7842","19895365","3272","7850","19906479","6.22","3.11","12.45","6.21","34.91","2.63","1.92","1.2903","4.75","2.18","1","1","1","1","1","1","6.22 (3.11, 12.45)"
"Dyspnoea","Ioversol","Dyspnoea","呼吸困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","442","442","2830","536312","19366895","3272","536754","19906479","5.64","5.1","6.23","5.01","1458.15","2.32","2.22","88.2255","4.99","2.95","1","1","1","1","1","1","5.64 (5.10, 6.23)"
"Petechiae","Ioversol","Petechiae","瘀点","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","9","9","3263","9807","19893400","3272","9816","19906479","5.59","2.91","10.77","5.58","33.84","2.48","1.81","1.6134","4.5","2.11","1","1","1","1","1","1","5.59 (2.91, 10.77)"
"ANGIOEDEMA","Ioversol","ANGIOEDEMA","血管性水肿","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","38","38","3234","41800","19861407","3272","41838","19906479","5.58","4.05","7.69","5.53","141.18","2.47","2.14","6.8769","5.22","2.91","1","1","1","1","1","1","5.58 (4.05, 7.69)"
"Incontinence","Ioversol","Incontinence","失禁","Renal and urinary disorders","肾脏及泌尿系统疾病","9","9","3263","10133","19893074","3272","10142","19906479","5.41","2.81","10.42","5.4","32.28","2.43","1.76","1.667","4.38","2.06","1","1","1","1","1","1","5.41 (2.81, 10.42)"
"Dysphonia","Ioversol","Dysphonia","发声困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","48","48","3224","55363","19847844","3272","55411","19906479","5.34","4.01","7.1","5.27","166.57","2.4","2.11","9.1078","5.05","2.85","1","1","1","1","1","1","5.34 (4.01, 7.10)"
"Circulatory collapse","Ioversol","Circulatory collapse","循环性虚脱","Vascular disorders","血管与淋巴管类疾病","14","14","3258","16394","19886813","3272","16408","19906479","5.21","3.08","8.81","5.19","47.42","2.38","1.84","2.697","4.54","2.3","1","1","1","1","1","1","5.21 (3.08, 8.81)"
"COLD SWEAT","Ioversol","COLD SWEAT","冷汗","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","14","14","3258","16935","19886272","3272","16949","19906479","5.05","2.98","8.53","5.03","45.19","2.33","1.79","2.7859","4.41","2.23","1","1","1","1","1","1","5.05 (2.98, 8.53)"
"Loss of consciousness","Ioversol","Loss of consciousness","意识丧失","Nervous system disorders","各类神经系统疾病","98","98","3174","122297","19780910","3272","122395","19906479","4.99","4.08","6.11","4.87","303.42","2.28","2.08","20.1179","4.78","2.77","1","1","1","1","1","1","4.99 (4.08, 6.11)"
"Feeling hot","Ioversol","Feeling hot","感觉热","General disorders and administration site conditions","全身性疾病及给药部位各种反应","47","47","3225","58833","19844374","3272","58880","19906479","4.92","3.69","6.56","4.86","144.38","2.28","1.99","9.678","4.67","2.63","1","1","1","1","1","1","4.92 (3.69, 6.56)"
"Swelling face","Ioversol","Swelling face","面部肿胀","General disorders and administration site conditions","全身性疾病及给药部位各种反应","49","49","3223","61798","19841409","3272","61847","19906479","4.88","3.68","6.47","4.82","148.84","2.27","1.98","10.1657","4.64","2.62","1","1","1","1","1","1","4.88 (3.68, 6.47)"
"HYPERSENSITIVITY","Ioversol","HYPERSENSITIVITY","超敏反应","Immune system disorders","免疫系统疾病","135","135","3137","174189","19729018","3272","174324","19906479","4.87","4.1","5.79","4.71","398.26","2.24","2.06","28.6534","4.65","2.71","1","1","1","1","1","1","4.87 (4.10, 5.79)"
"DRUG ERUPTION","Ioversol","DRUG ERUPTION","药疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","13","13","3259","16436","19886771","3272","16449","19906479","4.83","2.8","8.32","4.81","39.25","2.27","1.71","2.7037","4.21","2.11","1","1","1","1","1","1","4.83 (2.80, 8.32)"
"Depressed level of consciousness","Ioversol","Depressed level of consciousness","意识水平下降","Nervous system disorders","各类神经系统疾病","28","28","3244","37380","19865827","3272","37408","19906479","4.59","3.16","6.66","4.56","77.81","2.19","1.81","6.1487","4.29","2.34","1","1","1","1","1","1","4.59 (3.16, 6.66)"
"Cardiac arrest","Ioversol","Cardiac arrest","心脏停搏","Cardiac disorders","心脏器官疾病","59","59","3213","79505","19823702","3272","79564","19906479","4.58","3.54","5.92","4.51","161.93","2.17","1.91","13.0778","4.38","2.5","1","1","1","1","1","1","4.58 (3.54, 5.92)"
"TACHYCARDIA","Ioversol","TACHYCARDIA","心动过速","Cardiac disorders","心脏器官疾病","62","62","3210","84529","19818678","3272","84591","19906479","4.53","3.52","5.82","4.46","167.11","2.16","1.9","13.9041","4.34","2.48","1","1","1","1","1","1","4.53 (3.52, 5.82)"
"COUGH","Ioversol","COUGH","咳嗽","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","178","178","3094","263869","19639338","3272","264047","19906479","4.28","3.68","4.98","4.1","423.11","2.04","1.88","43.401","4.07","2.38","1","1","1","1","1","1","4.28 (3.68, 4.98)"
"Flushing","Ioversol","Flushing","潮红","Vascular disorders","血管与淋巴管类疾病","64","64","3208","98143","19805064","3272","98207","19906479","4.03","3.14","5.16","3.97","142.61","1.99","1.73","16.1421","3.88","2.22","1","1","1","1","1","1","4.03 (3.14, 5.16)"
"Rash erythematous","Ioversol","Rash erythematous","红色皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","28","28","3244","43047","19860160","3272","43075","19906479","3.98","2.74","5.78","3.96","61.96","1.98","1.6","7.0802","3.76","2.05","1","1","1","1","1","1","3.98 (2.74, 5.78)"
"Intravascular gas","POOLED","Intravascular gas","血管内气体","Vascular disorders","血管与淋巴管类疾病","6","6","14775","2","19891696","14781","8","19906479","4038.92","815.11","20013.21","4037.28","6052.93","9.98","8.35","0.0059","12.85","5.49","1","1","1","1","1","1","4,038.92 (815.11, 20,013.21)"
"VESSEL PUNCTURE SITE DISCHARGE","POOLED","VESSEL PUNCTURE SITE DISCHARGE","血管穿刺部位分泌物","General disorders and administration site conditions","全身性疾病及给药部位各种反应","3","3","14778","1","19891697","14781","4","19906479","4038.1","420","38824.27","4037.28","3026.46","9.98","7.67","0.003","6.96","2.36","1","1","1","1","1","1","4,038.10 (420.00, 38,824.27)"
"Contrast encephalopathy","POOLED","Contrast encephalopathy","造影剂脑病","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","135","135","14646","95","19891603","14781","230","19906479","1930.02","1483.72","2510.56","1912.4","106526.69","9.63","9.36","0.1708","202","117.82","1","1","1","1","1","1","1,930.02 (1,483.72, 2,510.56)"
"Contrast media reaction","POOLED","Contrast media reaction","造影剂反应","Immune system disorders","免疫系统疾病","574","574","14207","1684","19890014","14781","2258","19906479","477.2","433.46","525.36","458.71","195533.66","8.42","8.32","1.6766","263.94","156.18","1","1","1","1","1","1","477.20 (433.46, 525.36)"
"Contrast media allergy","POOLED","Contrast media allergy","造影剂过敏","Immune system disorders","免疫系统疾病","365","365","14416","1224","19890474","14781","1589","19906479","411.45","365.64","462.99","401.31","112278.72","8.27","8.15","1.1799","217.58","128.42","1","1","1","1","1","1","411.45 (365.64, 462.99)"
"Venous intravasation","POOLED","Venous intravasation","静脉内渗","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","3","3","14778","10","19891688","14781","13","19906479","403.81","111.12","1467.44","403.73","927.07","8.28","6.96","0.0097","6.87","2.33","1","1","1","1","1","1","403.81 (111.12, 1,467.44)"
"Iodine overload","POOLED","Iodine overload","碘超负荷","Metabolism and nutrition disorders","代谢及营养类疾病","5","5","14776","23","19891675","14781","28","19906479","292.66","111.24","769.9","292.56","1193.37","7.91","6.92","0.0208","10.56","4.29","1","1","1","1","1","1","292.66 (111.24, 769.90)"
"ANAPHYLACTOID SHOCK","POOLED","ANAPHYLACTOID SHOCK","类过敏性休克","Immune system disorders","免疫系统疾病","72","72","14709","389","19891309","14781","461","19906479","250.3","194.55","322.03","249.09","15012.33","7.72","7.46","0.3423","86.07","49.41","1","1","1","1","1","1","250.30 (194.55, 322.03)"
"Inappropriate release of product for distribution","POOLED","Inappropriate release of product for distribution","产品被不当分发配送","Product issues","产品问题","7","7","14774","38","19891660","14781","45","19906479","248.02","110.74","555.48","247.9","1453.59","7.71","6.89","0.0334","14.06","6.25","1","1","1","1","1","1","248.02 (110.74, 555.48)"
"Air embolism","POOLED","Air embolism","空气栓塞","Vascular disorders","血管与淋巴管类疾病","70","70","14711","385","19891313","14781","455","19906479","245.84","190.47","317.31","244.68","14374.92","7.69","7.43","0.3378","84.14","48.25","1","1","1","1","1","1","245.84 (190.47, 317.31)"
"MENINGITIS CHEMICAL","POOLED","MENINGITIS CHEMICAL","化学性脑膜炎","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","23","23","14758","190","19891508","14781","213","19906479","163.16","105.82","251.58","162.91","3301.42","7.18","6.74","0.1582","35.71","19.15","1","1","1","1","1","1","163.16 (105.82, 251.58)"
"Inadvertent injection air bubble","POOLED","Inadvertent injection air bubble","不慎注入气泡","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","10","10","14771","86","19891612","14781","96","19906479","156.59","81.33","301.47","156.48","1383.98","7.13","6.46","0.0713","18.38","8.81","1","1","1","1","1","1","156.59 (81.33, 301.47)"
"Oxygen saturation immeasurable","POOLED","Oxygen saturation immeasurable","氧饱和度不可测","Investigations","各类检查","10","10","14771","90","19891608","14781","100","19906479","149.63","77.84","287.64","149.53","1327.83","7.07","6.41","0.0743","18.28","8.76","1","1","1","1","1","1","149.63 (77.84, 287.64)"
"Meningitis fungal","POOLED","Meningitis fungal","真菌性脑膜炎","Infections and infestations","感染及侵染类疾病","19","19","14762","205","19891493","14781","224","19906479","124.89","78.03","199.88","124.73","2134.23","6.84","6.36","0.1663","29.27","15.39","1","1","1","1","1","1","124.89 (78.03, 199.88)"
"Skin temperature increased","POOLED","Skin temperature increased","皮肤温度增高","Investigations","各类检查","4","4","14777","47","19891651","14781","51","19906479","114.56","41.27","318.02","114.53","414.86","6.72","5.68","0.0379","8.37","3.16","1","1","1","1","1","1","114.56 (41.27, 318.02)"
"Laryngeal discomfort","POOLED","Laryngeal discomfort","喉部不适","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","44","44","14737","556","19891142","14781","600","19906479","106.81","78.55","145.25","106.5","4261.29","6.63","6.31","0.4455","47.06","26.45","1","1","1","1","1","1","106.81 (78.55, 145.25)"
"Product administered from unauthorised provider","POOLED","Product administered from unauthorised provider","施用了来自未获批提供商的产品","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","5","5","14776","68","19891630","14781","73","19906479","98.99","39.91","245.5","98.95","451.61","6.53","5.6","0.0542","9.92","4.03","1","1","1","1","1","1","98.99 (39.91, 245.50)"
"EXTRAVASATION","POOLED","EXTRAVASATION","外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","254","254","14527","3712","19887986","14781","3966","19906479","93.68","82.41","106.49","92.09","21423.25","6.43","6.3","2.9448","73.88","43.47","1","1","1","1","1","1","93.68 (82.41, 106.49)"
"RADIAL PULSE ABNORMAL","POOLED","RADIAL PULSE ABNORMAL","桡动脉脉搏异常","Investigations","各类检查","7","7","14774","114","19891584","14781","121","19906479","82.67","38.53","177.38","82.63","531.87","6.28","5.5","0.0898","12.72","5.65","1","1","1","1","1","1","82.67 (38.53, 177.38)"
"Anaphylactoid reaction","POOLED","Anaphylactoid reaction","类过敏反应","Immune system disorders","免疫系统疾病","225","225","14556","3738","19887960","14781","3963","19906479","82.24","71.82","94.18","81","16772.82","6.26","6.12","2.9426","65.5","38.49","1","1","1","1","1","1","82.24 (71.82, 94.18)"
"Hepatic artery stenosis","POOLED","Hepatic artery stenosis","肝动脉狭窄","Hepatobiliary disorders","肝胆系统疾病","7","7","14774","121","19891577","14781","128","19906479","77.89","36.35","166.9","77.85","502.03","6.2","5.42","0.095","12.6","5.6","1","1","1","1","1","1","77.89 (36.35, 166.90)"
"Blood brain barrier defect","POOLED","Blood brain barrier defect","血脑屏障功能障碍","Nervous system disorders","各类神经系统疾病","7","7","14774","137","19891561","14781","144","19906479","68.79","32.18","147.05","68.76","444.71","6.03","5.26","0.1069","12.36","5.49","1","1","1","1","1","1","68.79 (32.18, 147.05)"
"Postresuscitation encephalopathy","POOLED","Postresuscitation encephalopathy","复苏后脑病","Nervous system disorders","各类神经系统疾病","3","3","14778","62","19891636","14781","65","19906479","65.13","20.44","207.51","65.12","180.66","5.96","4.78","0.0483","6.38","2.16","1","1","1","1","1","1","65.13 (20.44, 207.51)"
"Blood pressure immeasurable","POOLED","Blood pressure immeasurable","血压不可测","Investigations","各类检查","64","64","14717","1416","19890282","14781","1480","19906479","61.09","47.53","78.51","60.83","3603.3","5.86","5.61","1.0989","40.34","23.06","1","1","1","1","1","1","61.09 (47.53, 78.51)"
"Sneezing","POOLED","Sneezing","喷嚏","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","850","850","13931","20321","19871377","14781","21171","19906479","59.66","55.6","64.03","56.29","44356.55","5.76","5.68","15.7199","52.44","31.07","1","1","1","1","1","1","59.66 (55.60, 64.03)"
"Fixed drug eruption","POOLED","Fixed drug eruption",,,,"5","5","14776","117","19891581","14781","122","19906479","57.53","23.5","140.83","57.51","266.27","5.79","4.87","0.0906","9.31","3.78","1","1","1","1","1","1","57.53 (23.50, 140.83)"
"NIH STROKE SCALE SCORE INCREASED","POOLED","NIH STROKE SCALE SCORE INCREASED","美国国立卫生研究院卒中量表分数增加","Investigations","各类检查","3","3","14778","74","19891624","14781","77","19906479","54.57","17.2","173.1","54.56","151.58","5.71","4.54","0.0572","6.28","2.13","1","1","1","1","1","1","54.57 (17.20, 173.10)"
